aabad,Populated
aiyyapa,Lord Ayyappa; Son of Lord Shiva and Hari (Mohini) 
aiz,Aizen; Mare; New; Pretty; Loving
aja,Fire, Unborn, Purity
ajaata,Unborn
ajaaya,One who is Never Lose
ajah,Unborn 
ajahni,TBD
ajahni,He who wins the struggle in African speaking countries. In Hindu speaking countries means of noble birth. Used most for a boy in Africa. Can be used in the feminine in Sanskrit 
ajai,Hinduinvincible, Invincible
ajai,Success; Unconquerable; Invincible 
ajairaj, 
ajamil,A Mythological King
ajan,The Unborn; Love of Vishnu
ajanma,One who is Unborn
ajanma,One who is limitless and endless 
ajanta,Eternal Fame; A Famous Cave
ajanya,Without Born; Unique; Immortal
ajap,Remember
ajar,Forever, The God
ajat,Lord Shiva; Unborn; Birthless
ajat,Unborn 
ajatha,Birth Less
ajathasathru,A person who has no enemies 
ajatshatru,Who has no enemies 
ajay,Victorious, Unconquerable
ajay,Success; Unconquerable; Invincible 
ajayan,Immortal
ajayan,Winner 
ajdha,Prosperity 
ajeenkya,Supreme; One who cannot be defeated; Invincible 
ajeesh,Not Defeated by Anyone
ajeesh,Lord Hanuman, The God who is invincible, Not defeated by anyone 
ajeet,Successful; Unbeatable; Unconquerable (Ajeet) 
ajeit,Invincible; Unconquered
ajendra,King of mountains 
ajesh,Humours; Lord Hanuman
ajesh,Lord Hanuman, The God who is invincible, Not defeated by anyone 
ajey,Unconquerable
ajeya,One who cannot be Conquered
aji,Tell; Taste
ajiish,One who Wins
ajinka,No One can Win Victory over Him
ajinkya,Supreme; One who cannot be defeated; Invincible 
ajinth,Skilled Person
ajish,God of Dev; Graceful
ajish,Lord Hanuman, The God who is invincible, Not defeated by anyone 
ajisth,Very Intelligent
ajit,Unconquerable, Invincible
ajit,Successful; Unbeatable; Unconquerable (Ajeet) 
ajit kumar,Always win 
ajitabh,One who has conquered the Sky; Victor 
ajitesh,Lord Vishnu; Lord of the unconquerable 
ajitey,One who cannot be Conquered
ajith,Invincible; Conqueror
ajith,Successful; Unbeatable; Unconquerable (Ajeet) 
ajitha,A Winner; Unconquered
ajithabh,One who has conquered the Sky; Victor 
ajithesh,Lord Vishnu; Lord of the unconquerable 
ajitya,No One can Win
ajju,Hopeful
ajlee,Divne Offering
ajmal,Beauty, Pious
ajmala,How Beautiful
ajmani,Beautiful Jewel
ajmer,Legend; Name of a City
ajmere,TBD
ajmil,A Mythological King
ajneesh,The Sun's glory; Sunshine 
ajneya,Great
ajoy,Joyful; Unbeatable; Unconquerable
ajoy,Joyful 
ajraj,Ruler of World
ajus, 
aka,Creeper; Vine; Weed
akaar,Shape 
akaas,As Vast as the Sky
akaash,Sky
akal,Timeless, Chief of a Tribe
akalmash,Stainless 
akalpa,Ornament
akalpa,Ornament 
akam, 
akand,Calm
akand,Calm 
akane,Someone you cannot stop loving 
akansh,Whole; Part of Someone
akansh,Desire; Wish 
akanshit,One who is desired 
akant,Alone
akar,Shape, Form, Flowing Stream
akaram,Most Generous, Excellent
akarsh,Attractive
akarsh,Attractive 
akarsh shubhan,Attractive 
akas,High Like Sky, All Pervading
akash,Sky, Lord of Day, Uncountable
akash,The Sky; Open-mindedness 
akasha,Open Air; Space
akashaj, 
akashat, 
akashdeep,Illuminated heavenly realm; Star in the sky 
akashika, 
akay,To Rise
akbal, 
akchit,TBD
akela,Graceful, Noble
akendra,Name of a God 
akesh,Fire, Sun, Power of Eternity
aket,Lord Shiva
akhalesh,Name of Shankar jee 
akhand,Whole; Entire; Unbroken
akhand,Unbroken 
akharsh,Attract 
akheel,Complete
akhil,Entire, Whole, Complete, Tree
akhil,Complete 
akhila,Complete; Whole
akhilesh,Indestructible; Immortal 
akhileshwar,Supreme being 
akhileswar,Supreme being 
akhira,Intelligence
akhiransh,Eye; Aparajit or another name of Rama 
akhsaj,Lord Vishnu; A diamond; A thunderbolt; A name of Vishnu 
akhurath,One who has a mouse as his charioteer 
akhyath,Famous 
aki,Autumn, Bright
akil,Intelligent, Thoughtful
akil,Wise; Intelligent; Thoughtful; Sensible 
akila,Universe; Not Fixed; Wavering
akilan,Intelligent; Ruler of the World
akilan,Intelligent; Logical 
akilesh,Indestructible; Immortal 
akileshcharan, 
akira,Intelligent, Anchor, Bright
akish,Intelligent
akitav,Unique
akkamma,Goddess name 
akkhil,Entire, Complete
akki,Lovely; Soul; Rice; Irrigator
akkrum,Lord Buddha
akkrum,Lord Buddha 
akku,Nick Name; Sweet; Beautiful
akky,Sweet; Cute Name
akmal,Perfect; Whole; Complete
akop,Free from Anger; Calm
akrant,Force; Might
akrash,Attractive
akrash,Attractive 
akrish,Young Krishna
akrish,Young Krishna 
akrit,Shape; Art; Form; Design
akrit,Helping others 
akrodh,Not Passionate; Non-anger
akroor,Kind, Gentle, A Yadava Chief
akruti,Nature or beautiful; Figure 
aksa,Sky; Soul
aksan,Undestroyable
aksar,Imperishable
aksat,TBD
aksay,Everlasting
aksh,Chariot of Thousand Horses
aksh,Divider 
akshad,Blessing 
akshad,Blessing; God
akshagna,Lord Murugan 
akshahantre,Slayer of Aksha 
akshai,Genius
akshaj,Lord Vishnu; A diamond; A thunderbolt; A name of Vishnu 
akshaj,Ray of Sun, Immortal
akshal,Divine of Power
aksham,Unefficient; Capable
akshan,Eye 
akshan,Eye
akshansh,Universe 
akshar,Imperishable 
akshar,Imperishable, Lord Vishnu / Shiva
akshat,One who cannot be injured; Rice offered to a deity in Hindu Pooja; Indestructible 
akshat,Blessings, Uninjurable
akshath,One who cannot be injured; Rice offered to a deity in Hindu Pooja; Indestructible 
akshay,Eternal; Immortal; Indestructible 
akshay,Indestructible, Unlimited
akshay keerti,Eternal fame 
akshaya,Eternal; Immortal; Indestructible; Goddess Parvati 
akshaya guna,Of limitless attributes; A name of Lord Shiva 
akshayaguna,Of limitless attributes; A name of Lord Shiva 
akshayah,Everlasting 
akshayakeerti,Eternal fame 
akshey,Forever 
akshey,Unscathed; Perfect
akshit,Permanent; Can not be broken easily; Secure; Saved; Guarded 
akshit,Permanent
akshith,Permanent; Can not be broken easily; Secure; Saved; Guarded 
akshiv,Lord Shiva
akshobhya,Lord Vishnu; Immovable one 
akshra,Letter; Alphabet; Unalterable
akshraj,The King of World 
akshu,Eye 
akshu,Eye
akshun,A significant particle 
akshun,A Significant Particle
akshy,Immortal; Unlimited
akshya,Brightness; Love; Immortal; God
akshyat,Unharmed; Uninjured 
aksit,Wish; Desire
akta,Unity; Union; Saint; Anointed
aktar,Fragrance
akul,A name of Lord Shiva 
akul,Great; Lord Shiva
akush,Lap
akutil,Straight Forward
akxay,Everlasting, Unlimited
akyath,Famous
ala,Nobility, Excellence, Superior
alaap,Musical Notes in a Order
alabhya,Unique; Difficult to acquire 
alagan,Handsome 
alagan,Handsome
alagar,God Krishna; God Shiva
alagarasu,Handsome king; King of beauty 
alagiri,Alagar Swami 
alak,World, Beautiful Tresses
alaka,Capital of Kuber Dunasty
alakh,Beyond Count
alakhya, 
alakshendra,Defender of humanity; Sanskrit for Alexander 
alam,World, Universe, The Whole World
alamar,Gilded; Covered with Gold
alampata,Ever eternal Lord 
alankar,Gold; Ornament 
alankrit,Decorated 
alap,New
alarka,White lotus 
alarn,One who Works on Correct Time
alay,Gift
alazae,TBD
albel,Different
albela,Frivolous; Beautiful; Charming
aldis,From the Old House, Old, Tired
alek,Defender of humanity 
alekhya nitya,Constant picture; A painting 
alekya,In Indian origin it means which cannot be written in general; It means a beautiful painting 
alekya,Which cannot be Written
alesh,Protected by God
alfaz,Word
alhaad,Happiness; Joy
alhad,Joy; Happiness 
alhad,Joy; Happiness
alia,Forehead
alin,Noble 
alin,Fair, Handsome
alipta,Different from all; Devoted 
alivia,Bleach 
alkansh, 
alkesh,Lord of Alkapuri
alkh,Beyond Count
allu,Star; Stylish; World
alobh,Without Greed; Name of Lord Shiva
aloc,Solider for God
alock,Uncomparable, Brightness
aloji,Honey 
alok,Light; Brilliance; Vision 
alok,Uncomparable, Name of Lord Shiva
aloke,Light; Brilliance; Vision 
aloke,Light
aloki,Brightness 
aloki,Brightness
alokik,Transcending the World
alolupan,One of the Kauravas 
alop,That which does not disappear 
alop,That which does Not Disappear
alpesh,A Little Part of God; Tiny; Unique
alpha,The first letter of the greek alphabet 
alpit,Different from all; Devoted 
alpit,Devoted; Different from All
alpu,Little
alvish,TBD
alwar,Name of a City
amaan,Peace; Protection; Without Fear
amaay,Lord Ganesh; Free from error or deceit; Not cunning 
amad,Praiseworthy; Love of God; Somber 
amadhya,Affectionate; Kind 
amain,Modest 
amal,Hope, Expectation, Bird
amalendu,The unblemished Moon 
amalesh,The pure one 
aman,Peace 
aman,The One who is Peaceful
amanar,Guide or Leader
amanat,Treasure; Security; Deposit 
amanat,Gift of God, Security, Deposit
amanath,Treasure; Security; Deposit 
amanda,Active
amandeep,Sharp witted; Light; Lamp of peace; Lamp of tranquility 
amaneesh,God of peace 
amani,Peace, Wishes, Aspiration, Belief
amapramaadhy,One of the Kauravas 
amar,Immortal; Forever; Divine 
amar,Forever, The Immortal One
amara,Immortal
amaraj,Eternally Born
amaran,The Immortal
amarat,God's Nectar; Immortality
amardeep,Eternal light 
amarender,Combination of Amar immortal and Indra king 
amarendra,This name has a Sanskrit origin and is a combination of Amar immortal and Lord Indra King of the Gods, combined, it means, King of the Immortals 
amaresh,Name of Lord Indra 
amaris,Child of the Moon 
amaris,Child of the Moon
amarit,God's Nectar
amarsh,Ideal
amartya,Immortal; Amber of the Sky; Eternal; Divine 
amathya, 
amav,Ocean
amav,Reincarnation of Lord Rama; Powerful; Undefeated 
amay,Fair, Lord Ganesha
amay,Lord Ganesh; Free from error or deceit; Not cunning 
ambadi,A place where Lord Krishna spent his childhood 
ambady,Lord Krishna's Childhood Place; …
ambak,Eye 
ambak,The Eye
ambar,Sky 
ambar,Sky
ambareesh,King of the Sky; An Angel from the heavens; The Sky 
ambarish,King of the Sky; An Angel from the heavens; The Sky 
ambav,Water like 
ambe, 
amber,The unbeatable; Sky 
amber,Sky
ambesh,Seven reflections 
ambhoj,Day Lotus; Water born; Lotus 
ambi,Goddess Parvathi
ambika,Name of Goddess Durga / Parvati
ambikanath,Lord Shiva, Consort of Ambika 
ambikapathi,Lord Shiva, Consort of Ambika 
ambikeya,Of Ambika; Mountain; Lord Ganesha 
ambili,The Moon 
ambit,Derived from Amba
ambu,Water 
ambud,Cloud 
ambud,Cloud
ambuj,Lotus; Water born; Indra's thunderbolt 
ambuj,Lotus
ambujakshan,Lotus eyed 
ambunath,Ocean 
ameek,Very Deep
ameen,Divine Grace, Honest, Faithful
ameer,Ruler, Prince, Superior, Chief
ameet,Infinite; Unique; Incomparable Lord; Indestructible; Imperishable; Great; Endless; Boundless 
ameet,Boundless
amegh,Invincible; A Name of Lord Ganesha
amekh,Written
amer,Rich; One who Builds; Great Tree
amet,Infinite; Unique; Incomparable Lord; Indestructible; Imperishable; Great; Endless; Boundless 
amey,Eagle; Lord Ganesha
amey,Lord Ganesh; Free from error or deceit; Not cunning 
ameya,Boundless; Magnanimous; One who is beyond measure 
ameya,Boundless, Magnanimous
ameyaatmaa,Manifests in infinite varieties; Lord Vishnu 
ameyatma,Manifests in infinite varieties; Lord Vishnu 
amfy,Always Ready
ami,Nectar
amid,Support, Leader, Chief
amil,Invaluable, Worker, One who Hopes
amileigh,The bringer of hope; Smiles; God's gift 
amin,Divine Grace, Trustworthy, Honest
amir,Rich, Leader, Wealthy, Ruler
amiran,Royal; Prince
amirdan, 
amis,Honest
amish,Honest; Trustworthy; Pleasing 
amish,Successful; Honest
amit,Unlimited, Boundless
amit,Infinite; Unique; Incomparable Lord; Indestructible; Imperishable; Great; Endless; Boundless 
amitab,Limitless luster; Name of Lord Buddha; One who is having endless splendor 
amitabh,One with boundless splendor; Incomparable; Glorious 
amitansh,Limitless; Endless 
amitav,Limitless luster; Name of Lord Buddha; One who is having endless splendor 
amitav,Limitless Lustre
amitava,One with boundless splendor; Incomparable; Glorious 
amitay,Truth; Infinite 
amitbikram,Limitless prowess 
amitesh,Infinite God; Master of the infinite 
amith,Infinite; Unique; Incomparable Lord; Indestructible; Imperishable; Great; Endless; Boundless 
amitoj,Unlimited Glow
amitrasudan,Destroyer of enemies 
amiy,Lord Ganesha; Cool; Nectar
amiy,Karma before in this birth 
amiya,Nectar; Delight
amjith,Progressive
amlan,Unfading; Ever bright; Brilliant; Fresh; Clear 
amlan,Unfading; Ever-bright
amlankusum,Unfading flower 
ammar,Long-living, Builder, Popularity
ammu,Mother
amod,Pleasure; Joy
amod,Pleasure 
amodh,Happiness; Pleasure
amodin,Fragrant; Famous; Joyful
amog,Precious, A Name of Lord Ganesha
amogh,Unerring; Lord Ganesha 
amogh,Extraordinary, Precious
amoghah,Ever useful; Magnificent 
amoghraj,Great; The name of a Hindu God in India 
amoha,Clear; Straight 
amoha,Straight; Clear
amol,Priceless; Precious; Valuable 
amolak,Priceless 
amolak,Priceless
amolik,Priceless 
amolik,Priceless; Valueless
amoorta,Formless 
amprithan, 
amr,Order, Command, Old Name
amraj,I'm the King
amrat,God's Nectar
amreesh,Lord Indra 
amresh,Lord Indra, One of the many names of Lord Indra; King of Sky 
amresh,Lord Indra
amrik,Celestial God; Nectar 
amrik,Nectar, God of the Sky
amrish,Lord Indra, One of the many names of Lord Indra; King of Sky 
amrish,Lord Indra
amrit,Nectar 
amrit,Nectar
amritaya,The immortal; Lord Vishnu 
amrith,Nectar 
amrith,Nectar
amrithash,Lord Shiva; God of nectar; Godly being; Name of Shiva 
amrohi,TBD
amrrit,Great Liquid of God; God's Nectar; …
amrut,Nectar 
amrut,Divine Water, Nectar
amruta,Nectar; Immortal
amruth,Nectar 
amruth,Sweetness; Nectar
amrutheswar,Name of Lord Shiva 
amshu,Atom 
amshu,Atom
amshul,Bright 
amshul,Bright; Ray of Sun
amshuman,The Sun 
amuda,A liquid which when consumed makes the person live life -long without a death, also means purity 
amuda,TBD
amuk,Some; One; Another 
amul,Priceless, Infinite Value
amul,Priceless; Precious; Valuable 
amulya,Precious; Priceless; Valuable
amum,Very Beautiful
amuthan,Amuthan is derived from the word amurtham, This means the purity, It is the precious one 
amyt,Limitless; Also Spelt as Amit
anaad,Beginning-less
anaadhrushya,One of the Kauravas 
anaadi,Lord Krishna; Who does not have any end; Without beginning; Eternal; Godly; Another name for Shiva 
anaadi,Without Beginning
anaadih,One who is the first cause 
anaam,Without Any Name
anaan,Clouds
anaar,Pomegranate
anad,Amazing; God; Anup
anadee,Uncreated, Immortal, Endless
anadh,Arjun 
anadhi,Lord Krishna; Who does not have any end; Without beginning 
anadi,Immortal, Uncreated, Eternal
anag,Very Handsome
anagh,Sinless; Perfect; Pure 
anagh,Name of Lord Vishnu, Sinless
anagha,Without Sin; Pure; The Flawless
anahad,Limitless
anahath,Limitless; Infinite; Unbeaten 
anai,TBD
anak,A coller; Ornament; Strong; Cloud 
anakh,The Moon 
anakh,Self-respect; Bravery
anakin,Warrior, Soldier, Hidden, Obvious
anaksh,Peace; Ful; Imitated
anakul,Calm 
analp,Wind
anam,Blessing, Grace, Reward
anamay,Without miseries 
anamay,Healthy, Free from Disease
anamaya,Another name of Lord Shiva 
anami,A Name of Lord Buddha
anami,A name of Lord Buddha 
anamik,Nameless
anamitra,Lord Surya the Sun) 
ananay,Lord Sri Lord Krishna has used Ananay word in Gita in association with focused worship Ananay Bhakti 
ananay,Worship
anand,Delightful, Happy, Joy, Happiness
anand,Joy; Happiness; Delight 
ananda,Happiness, Joy, Blissful One
anandamay,One with full of happiness 
anandan,Happy boy; One who brings happiness; See Anandam 
anandhu,Snake of Lord Vishnu 
anandi,Bringer of Joy; Lord Vishnu
anando,Bliss
anandsagar,Compassionate Lord 
anandu,One with a Lot of Talent
anang,Name of Cupid or Kamadeva
anang,Name of cupid God, Kamdev 
ananga,Lord Vishnu, Without Form
ananga,Name of cupid, Kamadeva 
ananta,Eternal, Infinite
ananth,Endless; Infinite
ananya,Unique
ananye,The Most Honourable
ananyo,Unique; Sole; Peerless
anar,Radiant; Glowing; Pomegranate
anash,Indestructible, Undivided, Sky
anav,Starting; Humble; Ocean
anavit,Leader; Name of Lord Ganesha
anay,Leader of God, Valuable
anaya,Answer of God
anaye,Another Name for Lord Ganesh
anban,Lovable
anbu,Kindness; Softness; Love
anchal,Valley; Hamlet
anchit,Worshipped; Curved
andi,Man; Warrior
andraj,TBD
andya,Holy Person; Nice
aneek,Fighter
aneel,Wind, White, Holy
aneep,Mediator
anees,Wise Man, Close Friend, Companion
aneesh,Brightness, Supreme, Friendly
anek,Many; More; Lots and Lots
anen,Sinless, Faultless
anesh,Smart One, Creative and Active
aney,Name of Lord Ganesha
ang,The Mind
angaar,Spark of Fire
angad,An Ornament, Part of God
angada,Bracelet; Son of Baali
angaj,Son
angak,Son; Singer
angel,Messenger of God; Angel; Messenger
angesh,Derived from Ang
anggan,With Sharp Eye
angith,Wish
anhil,Uttpatti of Chauhan
anhu,Imperishable; Invincible
aniel,Strength
aniij,Charming
anik,Soldier; Sun
anika,Grace, Favour, Apricot from Nara
anil,Breeze, Purest, Wind, God of Wind
anin,Having No Master; Less
anindo,Happiness
anirved,Positive; Courageous; Resilient; Independent 
anirvin,Mother; God-like; Active; Cheerful; Another name for Vishnu 
anirvinya,A name of Lord Vishnu 
anis,Close Friend, Friendly, Amiable
anish,A close friend; Good company; Smart one; Companion; Supreme; Another name for Krishna and Vishnu 
anish,Lord Krishna, Lord Vishnu
anishk,A person who has no enemy 
anishk,A Person who has No Enemy
